开始时间,结束时间,任务分类,任务详情
14:20:04,14:20:47,学习,https://www.bing.com/search?pglt=163&q=抬头类型怎么填&cvid=cbf941a616704cf4af1a858ee53f0ae8&gs_lcrp=EgRlZGdlKgYIABBFGDkyBggAEEUYOTIGCAEQABhAMgYIAhAAGEAyBggDEAAYQDIGCAQQABhAMgYIBRAAGEAyBggGEAAYQDIGCAcQABhAMgYICBAAGEDSAQg1MjQ1ajBqMagCALACAA&FORM=ANNTA1&PC=U531&mkt=zh-CN (搜索学习问题)
14:20:47,14:27:47,AI,chatgpt.com/c/693a62be-723c-832b-ba2c-74a8716bbfa0 (使用ChatGPT获取帮助)
14:27:47,14:29:52,开发,编写代码(CVRP – PK_Solver.py)
14:29:52,14:42:33,知识库,使用Obsidian整理Gemini Enterprise相关知识
14:42:33,14:44:32,开发,编写代码(CVRP – PK_Solver.py)
14:44:32,14:47:42,知识库,使用Obsidian整理Gemini Enterprise相关知识
14:47:42,14:49:33,开发,编写代码(CVRP – PK_Solver.py)
14:49:33,14:58:22,知识库,使用 Obsidian 整理 Gemini Enterprise 相关知识
14:58:22,15:02:21,AI,使用 ChatGPT 讨论模型维度不匹配修复问题
15:02:21,15:11:10,知识库,在 Obsidian 中整理 Python 代码注释
15:11:10,15:14:29,开发,在 PyCharm 中编写 CVRP 解决方案代码
15:14:29,15:23:12,知识库,继续在 Obsidian 中整理 Gemini Enterprise 相关知识
15:23:12,15:26:19,AI,使用ChatGPT获取代码优化建议
15:26:19,15:26:51,开发,在PyCharm中编写或调试CVRP代码
15:26:51,15:28:20,AI,使用ChatGPT获取代码优化建议
15:28:20,15:29:16,社交,使用QQ进行即时通讯
15:29:16,15:29:48,AI,使用ChatGPT获取代码优化建议
15:29:48,15:32:01,开发,编写代码(PyCharm中CVRP – PK_Solver.py)
15:32:01,15:34:22,AI,使用ChatGPT获取代码优化建议
15:34:22,15:35:39,开发,调试代码(PyCharm中CVRP – PK_Solver.py)
15:35:39,15:45:45,知识库,使用Obsidian整理知识(Gemini Enterprise - Ob仓库)
15:45:45,15:47:36,开发,编写代码(PyCharm中CVRP – PK_Solver.py)
15:47:36,15:52:36,开发,本地调试或开发环境 (localhost:8502)
15:52:36,15:53:40,学习,观看教学视频 (B站编程课程)
15:53:40,16:00:16,开发,编写代码 (PyCharm - CVRP – PK_Solver.py)
16:00:16,16:01:35,AI,登录并使用AI辅助工具 (Cursor - Deep Control)
16:01:35,16:03:09,AI,登录并使用AI辅助工具 (Cursor - Deep Control)
16:03:09,16:07:14,系统,Cursor Settings - CVRP - Cursor [管理员] - 调整鼠标指针设置
16:07:14,16:09:05,系统,C:\Users\lenovo\AppData\Roaming 和 1 个其他选项卡 - 文件资源管理器 - 浏览文件资源管理器
16:09:05,16:10:37,开发,cursor sign in 网页登录成功，sursor软件里一直登陆不成功没有登陆信息_cursor登录不上去怎么解决-CSDN博客 和另外 9 个页面 - 个人 - Microsoft​ Edge - 查阅技术文档解决Cursor登录问题
16:10:37,16:11:21,开发,Cursor - AI 代码编辑器 --- Cursor - The AI Code Editor 和另外 10 个页面 - 个人 - Microsoft​ Edge - 访问Cursor AI代码编辑器
16:11:21,16:43:59,开发,PK_Solver.py - CVRP - Cursor [Administrator] - 使用Cursor编写代码
16:43:59,16:46:08,社交,使用QQ进行即时通讯
16:46:08,16:50:40,开发,在Cursor中编写或调试PK_Solver.py文件
16:50:40,16:52:22,AI,使用ChatGPT讨论RL高质量路径训练
16:52:22,16:55:55,开发,在Cursor中编写或调试train.py文件
16:55:55,16:57:18,社交,使用QQ进行即时通讯
16:57:18,16:59:31,开发,编写代码 (train.py - CVRP - Cursor [Administrator])
16:59:31,17:02:16,开发,查阅技术文档 (BKS 挑战赛 – CVRPLib --- BKS Challenge – CVRPLib 和另外 12 个页面 - 个人 - Microsoft Edge)
17:02:16,17:22:36,开发,编写代码 (CODE_GUIDE.md - CVRP - Cursor [Administrator])
17:22:36,17:24:54,知识库,整理知识 (CODE_GUIDE - Ob仓库 - Obsidian v1.10.6)
17:24:54,17:29:08,开发,编写代码 (PK_Solver.py - CVRP - Cursor [Administrator])
17:29:08,17:30:06,系统,F:\桌面资料\代办\人工智能作业\大作业\CVRP\test - 文件资源管理器 (浏览文件夹)
17:30:06,17:34:10,开发,solution_report.txt - CVRP - Cursor [Administrator] (编辑或查看文本文件)
17:34:10,17:36:22,社交,QQ (使用即时通讯工具)
17:36:22,17:38:43,开发,PK_Solver.py - CVRP - Cursor [Administrator] (编写或调试Python代码)
17:38:43,17:40:45,社交,QQ (使用即时通讯工具)
17:40:45,18:08:09,开发,编写和调试PK_Solver.py代码 (CVRP问题)
18:08:09,18:09:33,知识库,在Obsidian中整理Gemini Enterprise相关知识
18:09:33,18:24:13,开发,继续编写和调试PK_Solver.py代码 (CVRP问题)
18:24:13,18:24:57,开发,在PyCharm中查看和编辑CVRP项目代码
18:24:57,18:25:54,开发,继续编写和调试PK_Solver.py代码 (CVRP问题)
18:25:54,18:27:10,AI,使用ChatGPT讨论RL高质量路径训练
18:27:10,18:29:38,开发,在Cursor中编写和调试PK_Solver.py (CVRP)
18:29:38,18:30:43,知识库,在Obsidian中整理Gemini Enterprise相关知识
18:30:43,18:34:28,开发,在Cursor中编写和调试PK_Solver.py (CVRP)
18:34:28,18:36:10,知识库,在Obsidian中整理Gemini Enterprise相关知识
18:36:10,18:37:08,开发,编写和调试 PK_Solver.py 脚本
18:37:08,18:38:33,知识库,在 Obsidian 中整理 Gemini Enterprise 相关知识
18:38:33,18:43:25,开发,继续编写和调试 PK_Solver.py 脚本
18:43:25,18:44:23,AI,使用 ChatGPT 询问关于 PyTorch 加载失败的原因
18:44:23,18:56:24,系统,进行桌面整理
18:56:24,18:58:11,开发,编写代码(CVRP – PK_Solver.py)
18:58:11,19:13:25,娱乐,观看娱乐视频(反着评分吃一天！？日本最难吃餐厅究竟多逆天？不听劝实际探店后我的感受是…)
19:13:25,19:24:48,娱乐,观看娱乐视频(在日本，吃牛肉饭代表你很穷？实际探店带你看日本的穷人餐厅都是什么？)
19:24:48,19:28:11,娱乐,观看娱乐视频(大到叫出来！日本的猪排仙人店，工作日午餐也要排2小时，是真有水平还是吹过了？)
19:28:11,19:34:30,系统,浏览文件资源管理器(F:\桌面资料\代办\人工智能作业\大作业\CVRP)
19:34:30,19:36:47,开发,编写代码(PyCharm) - 在PyCharm中编辑PK_Solver.py文件
19:36:47,19:37:41,开发,调试 - 在Cursor中调试PK_Solver.py文件
19:37:41,19:38:46,系统,浏览文件 - 在文件资源管理器中查看G盘文件
19:38:46,19:40:58,开发,调试 - 在Cursor中继续调试PK_Solver.py文件
19:40:58,19:41:35,系统,浏览文件 - 在文件资源管理器中查看CVRP相关文件
19:41:35,19:44:53,开发,编写代码(PK_Solver.py - CVRP - Cursor)
19:44:53,19:46:02,开发,查阅技术文档(https://docs.pytorch.org/docs/stable/generated/torch.load.html - torch.load - PyTorch 2.9 文档)
19:46:02,19:47:21,AI,使用ChatGPT(询问PyTorch加载失败原因)
19:47:21,19:57:05,开发,编写代码(requirements.txt - CVRP - Cursor)
19:57:05,19:58:02,开发,编写代码(pythonProject – PK_Solver.py)
19:58:02,19:59:45,系统,F:\桌面资料\代办\人工智能作业\大作业\CVRP 和 1 个其他选项卡 - 文件资源管理器 (浏览文件)
19:59:45,20:00:47,开发,pythonProject – PK_Solver.py (编写代码)
20:00:47,20:10:22,开发,X-n101-k25.vrp - pythonProject - Cursor [Administrator] (调试代码)
20:10:22,20:24:43,娱乐,Lyric - LX Music (听音乐)
20:24:43,20:25:48,开发,PK_Solver.py - pythonProject - Cursor [Administrator] (编写代码)
20:25:48,20:31:36,系统,文件资源管理器操作 (已完成 22%)
20:31:36,20:33:22,系统,使用 WinRAR 创建压缩文件 CVRP.rar
20:33:22,20:40:29,系统,在文件资源管理器中浏览和操作文件 (F:\桌面资料\代办\人工智能作业\大作业\CVRP 和 1 个其他选项卡)
20:40:29,20:43:45,AI,使用 ChatGPT 讨论 PyTorch 加载失败的原因
20:43:45,20:44:17,知识库,在 Obsidian 中查看或编辑关于 Python 的笔记
20:44:17,20:46:43,系统,文件资源管理器操作：查看和管理文件夹中的文件
20:46:43,20:51:30,开发,使用 PyCharm 编写代码：处理 PK_Solver.py 文件
20:51:30,20:54:24,开发,使用 Cursor 进行调试或编写代码：处理 cvrp100_pomo_final.ckpt 文件
20:54:24,20:55:14,系统,文件资源管理器操作：查看和管理文件夹中的文件
20:55:14,21:04:53,开发,使用 Cursor 进行调试或编写代码：处理 requirements.txt 文件
21:04:53,21:06:03,开发,编写代码(PyCharm): CVRP – PK_Solver.py
21:06:03,21:08:38,学习,阅读文章(知乎): 无标题 和另外 15 个页面 - 个人 - Microsoft​ Edge
21:08:38,21:09:22,开发,查阅技术文档(PyTorch): 无法翻译此页面
21:09:22,21:09:58,开发,查阅技术文档(PyTorch): Get Started 和另外 10 个页面 - 个人 - Microsoft​ Edge
21:09:58,21:15:43,开发,编写代码(PyCharm): CVRP – train.py
21:15:43,21:17:21,开发,编写代码 - requirements.txt - pythonProject - Cursor [Administrator]
21:17:21,21:20:08,开发,编写代码 - pythonProject – train.py
21:20:08,21:22:37,开发,编写代码 - PK_Solver.py - CVRP - Cursor [Administrator]
21:22:37,21:23:45,开发,查阅技术文档 - 开始使用 --- Get Started 和另外 10 个页面 - 个人 - Microsoft​ Edge
21:23:45,21:26:18,开发,查阅技术文档 - 之前的 PyTorch 版本 --- Previous PyTorch Versions 和另外 10 个页面 - 个人 - Microsoft​ Edge
21:26:18,21:27:20,开发,编写代码(PyCharm) - pythonProject – train.py
21:27:20,21:31:13,开发,调试 - PK_Solver.py - CVRP - Cursor [Administrator]
21:31:13,21:32:23,开发,查阅技术文档 - torch.load — PyTorch 2.9 文档
21:32:23,21:36:00,开发,调试 - PK_Solver.py - CVRP - Cursor [Administrator]
21:36:00,21:38:27,开发,查阅技术文档 - 从PyTorch旧版本到新版本的升级：步骤与注意事项-百度开发者中心
21:38:27,21:39:44,AI,使用ChatGPT询问PyTorch加载失败的原因
21:39:44,21:52:44,开发,在PyCharm中编写或调试CVRP项目
21:52:44,21:53:32,学习,观看Bilibili上的深度学习PyTorch教程视频
21:53:32,21:56:11,开发,在PyCharm中编写或调试CVRP项目
21:56:11,22:05:15,知识库,在Obsidian中整理Gemini Enterprise相关的知识
22:05:15,22:07:56,开发,编写代码 (PyCharm) - CVRP – PK_Solver.py
22:07:56,22:09:05,知识库,使用 Obsidian 整理知识 - Gemini Enterprise - Ob仓库
22:09:05,22:09:54,AI,使用 ChatGPT 进行交流或查询 - ChatGPT - Google Chrome
22:09:54,22:11:08,知识库,使用 Obsidian 整理知识 - Gemini Enterprise - Ob仓库
22:11:08,23:07:58,开发,调试代码 (Cursor) - PK_Solver.py - CVRP
23:07:58,23:09:51,系统,任务管理器 - 用户在查看系统资源使用情况。
23:09:51,23:12:00,开发,train.py - CVRP - Cursor [Administrator] - 用户在编写或调试代码。
23:12:00,23:13:10,AI,ChatGPT - Google Chrome - 用户在与ChatGPT进行交互。
23:13:10,23:14:20,开发,CVRP – train.py - 用户在PyCharm中编写或调试代码。
23:14:20,23:20:25,系统,F:\桌面资料\代办\人工智能作业\大作业\CVRP 和 1 个其他选项卡 - 文件资源管理器 - 用户在浏览文件资源管理器中的项目。
23:20:25,23:21:36,开发,编写代码(PyCharm) - CVRP – train.py
23:21:36,23:26:16,AI,使用ChatGPT - 深度强化学习CVRP解法
23:26:16,23:30:14,开发,编写代码(Cursor) - PK_Solver.py - CVRP
23:30:14,23:30:56,开发,终端操作 - 管理员: C:\WINDOWS\system32\cmd.exe
23:30:56,23:53:40,开发,编写代码(Cursor) - app.py - CVRP
